transaction_date,store_location,month,day_of_week,is_weekend,shift,shift_num,total_cups,prev_cups
2023-01-01,Astoria,1,Sunday,1,Morning,1,31,0.0
2023-01-01,Astoria,1,Sunday,1,Afternoon,2,156,31.0
2023-01-01,Astoria,1,Sunday,1,Evening,3,90,156.0
2023-01-02,Astoria,1,Monday,0,Morning,1,38,90.0
2023-01-02,Astoria,1,Monday,0,Afternoon,2,163,38.0
2023-01-02,Astoria,1,Monday,0,Evening,3,100,163.0
2023-01-03,Astoria,1,Tuesday,0,Morning,1,35,100.0
2023-01-03,Astoria,1,Tuesday,0,Afternoon,2,166,35.0
2023-01-03,Astoria,1,Tuesday,0,Evening,3,86,166.0
2023-01-04,Astoria,1,Wednesday,0,Morning,1,23,86.0
2023-01-04,Astoria,1,Wednesday,0,Afternoon,2,158,23.0
2023-01-04,Astoria,1,Wednesday,0,Evening,3,81,158.0
2023-01-05,Astoria,1,Thursday,0,Morning,1,16,81.0
2023-01-05,Astoria,1,Thursday,0,Afternoon,2,183,16.0
2023-01-05,Astoria,1,Thursday,0,Evening,3,86,183.0
2023-01-06,Astoria,1,Friday,0,Morning,1,19,86.0
2023-01-06,Astoria,1,Friday,0,Afternoon,2,123,19.0
2023-01-06,Astoria,1,Friday,0,Evening,3,82,123.0
2023-01-07,Astoria,1,Saturday,1,Morning,1,100,82.0
2023-01-07,Astoria,1,Saturday,1,Afternoon,2,95,100.0
2023-01-07,Astoria,1,Saturday,1,Evening,3,62,95.0
2023-01-08,Astoria,1,Sunday,1,Morning,1,79,62.0
2023-01-08,Astoria,1,Sunday,1,Afternoon,2,90,79.0
2023-01-08,Astoria,1,Sunday,1,Evening,3,58,90.0
2023-01-09,Astoria,1,Monday,0,Morning,1,146,58.0
2023-01-09,Astoria,1,Monday,0,Afternoon,2,40,146.0
2023-01-09,Astoria,1,Monday,0,Evening,3,22,40.0
2023-01-10,Astoria,1,Tuesday,0,Morning,1,220,22.0
2023-01-10,Astoria,1,Tuesday,0,Afternoon,2,58,220.0
2023-01-10,Astoria,1,Tuesday,0,Evening,3,27,58.0
2023-01-11,Astoria,1,Wednesday,0,Morning,1,152,27.0
2023-01-11,Astoria,1,Wednesday,0,Afternoon,2,38,152.0
2023-01-11,Astoria,1,Wednesday,0,Evening,3,39,38.0
2023-01-12,Astoria,1,Thursday,0,Morning,1,133,39.0
2023-01-12,Astoria,1,Thursday,0,Afternoon,2,33,133.0
2023-01-12,Astoria,1,Thursday,0,Evening,3,40,33.0
2023-01-13,Astoria,1,Friday,0,Morning,1,162,40.0
2023-01-13,Astoria,1,Friday,0,Afternoon,2,41,162.0
2023-01-13,Astoria,1,Friday,0,Evening,3,43,41.0
2023-01-14,Astoria,1,Saturday,1,Morning,1,141,43.0
2023-01-14,Astoria,1,Saturday,1,Afternoon,2,42,141.0
2023-01-14,Astoria,1,Saturday,1,Evening,3,30,42.0
2023-01-15,Astoria,1,Sunday,1,Morning,1,233,30.0
2023-01-15,Astoria,1,Sunday,1,Afternoon,2,69,233.0
2023-01-15,Astoria,1,Sunday,1,Evening,3,63,69.0
2023-01-16,Astoria,1,Monday,0,Morning,1,200,63.0
2023-01-16,Astoria,1,Monday,0,Afternoon,2,68,200.0
2023-01-16,Astoria,1,Monday,0,Evening,3,51,68.0
2023-01-17,Astoria,1,Tuesday,0,Morning,1,207,51.0
2023-01-17,Astoria,1,Tuesday,0,Afternoon,2,51,207.0
2023-01-17,Astoria,1,Tuesday,0,Evening,3,39,51.0
2023-01-18,Astoria,1,Wednesday,0,Morning,1,207,39.0
2023-01-18,Astoria,1,Wednesday,0,Afternoon,2,57,207.0
2023-01-18,Astoria,1,Wednesday,0,Evening,3,31,57.0
2023-01-19,Astoria,1,Thursday,0,Morning,1,220,31.0
2023-01-19,Astoria,1,Thursday,0,Afternoon,2,54,220.0
2023-01-19,Astoria,1,Thursday,0,Evening,3,39,54.0
2023-01-20,Astoria,1,Friday,0,Morning,1,123,39.0
2023-01-20,Astoria,1,Friday,0,Afternoon,2,54,123.0
2023-01-20,Astoria,1,Friday,0,Evening,3,38,54.0
2023-01-21,Astoria,1,Saturday,1,Morning,1,161,38.0
2023-01-21,Astoria,1,Saturday,1,Afternoon,2,43,161.0
2023-01-21,Astoria,1,Saturday,1,Evening,3,61,43.0
2023-01-22,Astoria,1,Sunday,1,Morning,1,97,61.0
2023-01-22,Astoria,1,Sunday,1,Afternoon,2,94,97.0
2023-01-22,Astoria,1,Sunday,1,Evening,3,49,94.0
2023-01-23,Astoria,1,Monday,0,Morning,1,112,49.0
2023-01-23,Astoria,1,Monday,0,Afternoon,2,118,112.0
2023-01-23,Astoria,1,Monday,0,Evening,3,62,118.0
2023-01-24,Astoria,1,Tuesday,0,Morning,1,118,62.0
2023-01-24,Astoria,1,Tuesday,0,Afternoon,2,114,118.0
2023-01-24,Astoria,1,Tuesday,0,Evening,3,60,114.0
2023-01-25,Astoria,1,Wednesday,0,Morning,1,135,60.0
2023-01-25,Astoria,1,Wednesday,0,Afternoon,2,111,135.0
2023-01-25,Astoria,1,Wednesday,0,Evening,3,68,111.0
2023-01-26,Astoria,1,Thursday,0,Morning,1,123,68.0
2023-01-26,Astoria,1,Thursday,0,Afternoon,2,134,123.0
2023-01-26,Astoria,1,Thursday,0,Evening,3,51,134.0
2023-01-27,Astoria,1,Friday,0,Morning,1,94,51.0
2023-01-27,Astoria,1,Friday,0,Afternoon,2,100,94.0
2023-01-27,Astoria,1,Friday,0,Evening,3,79,100.0
2023-01-28,Astoria,1,Saturday,1,Morning,1,109,79.0
2023-01-28,Astoria,1,Saturday,1,Afternoon,2,79,109.0
2023-01-28,Astoria,1,Saturday,1,Evening,3,56,79.0
2023-01-29,Astoria,1,Sunday,1,Morning,1,100,56.0
