transaction_date,store_location,month,day_of_week,is_weekend,shift,shift_num,total_cups,total_revenue,prev_revenue,prev_cups
2023-01-01,Astoria,1,Sunday,1,Morning,1,31,98.9,0.0,0.0
2023-01-01,Astoria,1,Sunday,1,Afternoon,2,156,466.35,98.9,31.0
2023-01-01,Astoria,1,Sunday,1,Evening,3,90,303.15,466.35,156.0
2023-01-02,Astoria,1,Monday,0,Morning,1,38,112.3,303.15,90.0
2023-01-02,Astoria,1,Monday,0,Afternoon,2,163,503.85,112.3,38.0
2023-01-02,Astoria,1,Monday,0,Evening,3,100,309.35,503.85,163.0
2023-01-03,Astoria,1,Tuesday,0,Morning,1,35,109.7,309.35,100.0
2023-01-03,Astoria,1,Tuesday,0,Afternoon,2,166,522.3,109.7,35.0
2023-01-03,Astoria,1,Tuesday,0,Evening,3,86,270.75,522.3,166.0
2023-01-04,Astoria,1,Wednesday,0,Morning,1,23,72.4,270.75,86.0
2023-01-04,Astoria,1,Wednesday,0,Afternoon,2,158,483.45,72.4,23.0
2023-01-04,Astoria,1,Wednesday,0,Evening,3,81,252.4,483.45,158.0
2023-01-05,Astoria,1,Thursday,0,Morning,1,16,52.05,252.4,81.0
2023-01-05,Astoria,1,Thursday,0,Afternoon,2,183,568.65,52.05,16.0
2023-01-05,Astoria,1,Thursday,0,Evening,3,86,282.35,568.65,183.0
2023-01-06,Astoria,1,Friday,0,Morning,1,19,62.5,282.35,86.0
2023-01-06,Astoria,1,Friday,0,Afternoon,2,123,404.75,62.5,19.0
2023-01-06,Astoria,1,Friday,0,Evening,3,82,248.8,404.75,123.0
2023-01-07,Astoria,1,Saturday,1,Morning,1,100,322.15,248.8,82.0
2023-01-07,Astoria,1,Saturday,1,Afternoon,2,95,297.9,322.15,100.0
2023-01-07,Astoria,1,Saturday,1,Evening,3,62,187.25,297.9,95.0
2023-01-08,Astoria,1,Sunday,1,Morning,1,79,271.9,187.25,62.0
2023-01-08,Astoria,1,Sunday,1,Afternoon,2,90,291.8,271.9,79.0
2023-01-08,Astoria,1,Sunday,1,Evening,3,58,229.45,291.8,90.0
2023-01-09,Astoria,1,Monday,0,Morning,1,146,523.13,229.45,58.0
2023-01-09,Astoria,1,Monday,0,Afternoon,2,40,167.18,523.13,146.0
2023-01-09,Astoria,1,Monday,0,Evening,3,22,83.7,167.18,40.0
2023-01-10,Astoria,1,Tuesday,0,Morning,1,220,666.95,83.7,22.0
2023-01-10,Astoria,1,Tuesday,0,Afternoon,2,58,192.35,666.95,220.0
2023-01-10,Astoria,1,Tuesday,0,Evening,3,27,87.7,192.35,58.0
2023-01-11,Astoria,1,Wednesday,0,Morning,1,152,474.5,87.7,27.0
2023-01-11,Astoria,1,Wednesday,0,Afternoon,2,38,132.25,474.5,152.0
2023-01-11,Astoria,1,Wednesday,0,Evening,3,39,133.4,132.25,38.0
2023-01-12,Astoria,1,Thursday,0,Morning,1,133,441.95,133.4,39.0
2023-01-12,Astoria,1,Thursday,0,Afternoon,2,33,106.0,441.95,133.0
2023-01-12,Astoria,1,Thursday,0,Evening,3,40,112.75,106.0,33.0
2023-01-13,Astoria,1,Friday,0,Morning,1,162,461.0,112.75,40.0
2023-01-13,Astoria,1,Friday,0,Afternoon,2,41,114.7,461.0,162.0
2023-01-13,Astoria,1,Friday,0,Evening,3,43,130.1,114.7,41.0
2023-01-14,Astoria,1,Saturday,1,Morning,1,141,518.1,130.1,43.0
2023-01-14,Astoria,1,Saturday,1,Afternoon,2,42,166.5,518.1,141.0
2023-01-14,Astoria,1,Saturday,1,Evening,3,30,79.1,166.5,42.0
2023-01-15,Astoria,1,Sunday,1,Morning,1,233,753.63,79.1,30.0
2023-01-15,Astoria,1,Sunday,1,Afternoon,2,69,260.25,753.63,233.0
2023-01-15,Astoria,1,Sunday,1,Evening,3,63,335.05,260.25,69.0
2023-01-16,Astoria,1,Monday,0,Morning,1,200,628.78,335.05,63.0
2023-01-16,Astoria,1,Monday,0,Afternoon,2,68,235.8,628.78,200.0
2023-01-16,Astoria,1,Monday,0,Evening,3,51,162.75,235.8,68.0
2023-01-17,Astoria,1,Tuesday,0,Morning,1,207,717.7,162.75,51.0
2023-01-17,Astoria,1,Tuesday,0,Afternoon,2,51,186.45,717.7,207.0
2023-01-17,Astoria,1,Tuesday,0,Evening,3,39,171.25,186.45,51.0
2023-01-18,Astoria,1,Wednesday,0,Morning,1,207,758.3,171.25,39.0
2023-01-18,Astoria,1,Wednesday,0,Afternoon,2,57,181.53,758.3,207.0
2023-01-18,Astoria,1,Wednesday,0,Evening,3,31,124.2,181.53,57.0
2023-01-19,Astoria,1,Thursday,0,Morning,1,220,753.53,124.2,31.0
2023-01-19,Astoria,1,Thursday,0,Afternoon,2,54,157.45,753.53,220.0
2023-01-19,Astoria,1,Thursday,0,Evening,3,39,168.4,157.45,54.0
2023-01-20,Astoria,1,Friday,0,Morning,1,123,448.0,168.4,39.0
2023-01-20,Astoria,1,Friday,0,Afternoon,2,54,252.95,448.0,123.0
2023-01-20,Astoria,1,Friday,0,Evening,3,38,170.48,252.95,54.0
2023-01-21,Astoria,1,Saturday,1,Morning,1,161,591.9,170.48,38.0
2023-01-21,Astoria,1,Saturday,1,Afternoon,2,43,172.95,591.9,161.0
2023-01-21,Astoria,1,Saturday,1,Evening,3,61,227.5,172.95,43.0
2023-01-22,Astoria,1,Sunday,1,Morning,1,97,299.95,227.5,61.0
2023-01-22,Astoria,1,Sunday,1,Afternoon,2,94,295.95,299.95,97.0
2023-01-22,Astoria,1,Sunday,1,Evening,3,49,146.9,295.95,94.0
2023-01-23,Astoria,1,Monday,0,Morning,1,112,357.2,146.9,49.0
2023-01-23,Astoria,1,Monday,0,Afternoon,2,118,370.6,357.2,112.0
2023-01-23,Astoria,1,Monday,0,Evening,3,62,200.5,370.6,118.0
2023-01-24,Astoria,1,Tuesday,0,Morning,1,118,376.35,200.5,62.0
2023-01-24,Astoria,1,Tuesday,0,Afternoon,2,114,352.45,376.35,118.0
2023-01-24,Astoria,1,Tuesday,0,Evening,3,60,193.25,352.45,114.0
2023-01-25,Astoria,1,Wednesday,0,Morning,1,135,405.8,193.25,60.0
2023-01-25,Astoria,1,Wednesday,0,Afternoon,2,111,327.25,405.8,135.0
2023-01-25,Astoria,1,Wednesday,0,Evening,3,68,208.95,327.25,111.0
2023-01-26,Astoria,1,Thursday,0,Morning,1,123,383.15,208.95,68.0
2023-01-26,Astoria,1,Thursday,0,Afternoon,2,134,403.8,383.15,123.0
2023-01-26,Astoria,1,Thursday,0,Evening,3,51,152.3,403.8,134.0
2023-01-27,Astoria,1,Friday,0,Morning,1,94,290.8,152.3,51.0
2023-01-27,Astoria,1,Friday,0,Afternoon,2,100,312.55,290.8,94.0
2023-01-27,Astoria,1,Friday,0,Evening,3,79,235.2,312.55,100.0
2023-01-28,Astoria,1,Saturday,1,Morning,1,109,312.1,235.2,79.0
2023-01-28,Astoria,1,Saturday,1,Afternoon,2,79,250.95,312.1,109.0
2023-01-28,Astoria,1,Saturday,1,Evening,3,56,170.2,250.95,79.0
2023-01-29,Astoria,1,Sunday,1,Morning,1,100,317.95,170.2,56.0
2023-01-29,Astoria,1,Sunday,1,Afternoon,2,115,359.9,317.95,100.0
2023-01-29,Astoria,1,Sunday,1,Evening,3,46,142.85,359.9,115.0
2023-01-30,Astoria,1,Monday,0,Morning,1,109,378.05,142.85,46.0
2023-01-30,Astoria,1,Monday,0,Afternoon,2,88,337.6,378.05,109.0
2023-01-30,Astoria,1,Monday,0,Evening,3,45,154.95,337.6,88.0
2023-01-31,Astoria,1,Tuesday,0,Morning,1,120,458.09999999999997,154.95,45.0
2023-01-31,Astoria,1,Tuesday,0,Afternoon,2,61,215.95,458.09999999999997,120.0
2023-01-31,Astoria,1,Tuesday,0,Evening,3,38,127.45,215.95,61.0
2023-02-01,Astoria,2,Wednesday,0,Morning,1,23,71.4,127.45,38.0
2023-02-01,Astoria,2,Wednesday,0,Afternoon,2,173,517.45,71.4,23.0
2023-02-01,Astoria,2,Wednesday,0,Evening,3,76,244.85,517.45,173.0
2023-02-02,Astoria,2,Thursday,0,Morning,1,22,71.4,244.85,76.0
2023-02-02,Astoria,2,Thursday,0,Afternoon,2,176,556.7,71.4,22.0
2023-02-02,Astoria,2,Thursday,0,Evening,3,104,316.7,556.7,176.0
2023-02-03,Astoria,2,Friday,0,Morning,1,28,85.25,316.7,104.0
2023-02-03,Astoria,2,Friday,0,Afternoon,2,191,593.4,85.25,28.0
2023-02-03,Astoria,2,Friday,0,Evening,3,82,261.55,593.4,191.0
2023-02-04,Astoria,2,Saturday,1,Morning,1,31,100.85,261.55,82.0
2023-02-04,Astoria,2,Saturday,1,Afternoon,2,168,510.35,100.85,31.0
2023-02-04,Astoria,2,Saturday,1,Evening,3,72,214.75,510.35,168.0
2023-02-05,Astoria,2,Sunday,1,Morning,1,28,85.75,214.75,72.0
2023-02-05,Astoria,2,Sunday,1,Afternoon,2,174,537.65,85.75,28.0
2023-02-05,Astoria,2,Sunday,1,Evening,3,81,247.85,537.65,174.0
