transaction_date,store_location,month,day_of_week,is_weekend,shift,Bakery,Branded,Coffee,Coffee_beans,Drinking_Chocolate,Flavours,Loose_Tea,Packaged_Chocolate,Tea,total_shift_cups
2023-01-01,Astoria,1,Sunday,1,Afternoon,7,0,74,0,14,0,0,0,61,156
2023-01-01,Astoria,1,Sunday,1,Evening,7,0,38,0,17,0,0,0,28,90
2023-01-01,Astoria,1,Sunday,1,Morning,3,0,13,0,5,0,0,0,10,31
2023-01-01,Hell's Kitchen,1,Sunday,1,Afternoon,6,0,55,0,7,0,0,0,41,109
2023-01-01,Hell's Kitchen,1,Sunday,1,Evening,7,0,40,0,5,0,0,0,34,86
2023-01-01,Hell's Kitchen,1,Sunday,1,Morning,5,0,38,0,5,0,0,0,27,75
2023-01-01,Lower Manhattan,1,Sunday,1,Afternoon,12,0,63,0,6,0,0,0,31,112
2023-01-01,Lower Manhattan,1,Sunday,1,Evening,3,0,12,0,0,0,0,0,9,24
2023-01-01,Lower Manhattan,1,Sunday,1,Morning,18,0,42,0,14,0,0,0,45,119
2023-01-02,Astoria,1,Monday,0,Afternoon,16,0,76,0,11,0,0,0,60,163
2023-01-02,Astoria,1,Monday,0,Evening,15,0,38,0,10,0,0,0,37,100
2023-01-02,Astoria,1,Monday,0,Morning,5,0,27,0,0,0,0,0,6,38
2023-01-02,Hell's Kitchen,1,Monday,0,Afternoon,8,0,53,0,4,0,0,0,44,109
2023-01-02,Hell's Kitchen,1,Monday,0,Evening,7,0,31,0,2,0,0,0,24,64
2023-01-02,Hell's Kitchen,1,Monday,0,Morning,8,0,50,0,10,0,0,0,31,99
2023-01-02,Lower Manhattan,1,Monday,0,Afternoon,19,0,53,0,8,0,0,0,41,121
2023-01-02,Lower Manhattan,1,Monday,0,Evening,3,0,15,0,1,0,0,0,4,23
2023-01-02,Lower Manhattan,1,Monday,0,Morning,6,0,33,0,7,0,0,0,27,73
2023-01-03,Astoria,1,Tuesday,0,Afternoon,12,0,76,0,13,0,0,0,65,166
2023-01-03,Astoria,1,Tuesday,0,Evening,7,0,38,0,13,0,0,0,28,86
2023-01-03,Astoria,1,Tuesday,0,Morning,3,0,26,0,2,0,0,0,4,35
2023-01-03,Hell's Kitchen,1,Tuesday,0,Afternoon,16,0,49,0,16,0,0,0,54,135
2023-01-03,Hell's Kitchen,1,Tuesday,0,Evening,6,0,26,0,8,0,0,0,27,67
2023-01-03,Hell's Kitchen,1,Tuesday,0,Morning,7,0,39,0,9,0,0,0,38,93
2023-01-03,Lower Manhattan,1,Tuesday,0,Afternoon,16,0,50,0,6,0,0,0,37,109
2023-01-03,Lower Manhattan,1,Tuesday,0,Evening,3,0,9,0,4,0,0,0,9,25
2023-01-03,Lower Manhattan,1,Tuesday,0,Morning,11,0,52,0,10,0,0,0,34,107
2023-01-04,Astoria,1,Wednesday,0,Afternoon,13,0,70,0,17,0,0,0,58,158
2023-01-04,Astoria,1,Wednesday,0,Evening,9,0,28,0,7,0,0,0,37,81
2023-01-04,Astoria,1,Wednesday,0,Morning,1,0,14,0,3,0,0,0,5,23
2023-01-04,Hell's Kitchen,1,Wednesday,0,Afternoon,4,0,57,0,9,0,0,0,27,97
2023-01-04,Hell's Kitchen,1,Wednesday,0,Evening,6,0,24,0,8,0,0,0,34,72
2023-01-04,Hell's Kitchen,1,Wednesday,0,Morning,6,0,49,0,6,0,0,0,26,87
2023-01-04,Lower Manhattan,1,Wednesday,0,Afternoon,9,0,50,0,8,0,0,0,40,107
2023-01-04,Lower Manhattan,1,Wednesday,0,Evening,5,0,19,0,0,0,0,0,10,34
2023-01-04,Lower Manhattan,1,Wednesday,0,Morning,8,0,26,0,4,0,0,0,29,67
2023-01-05,Astoria,1,Thursday,0,Afternoon,16,0,66,0,31,0,0,0,70,183
2023-01-05,Astoria,1,Thursday,0,Evening,12,0,44,0,4,0,0,0,26,86
2023-01-05,Astoria,1,Thursday,0,Morning,2,0,7,0,2,0,0,0,5,16
2023-01-05,Hell's Kitchen,1,Thursday,0,Afternoon,8,0,40,0,10,0,0,0,44,102
2023-01-05,Hell's Kitchen,1,Thursday,0,Evening,5,0,34,0,2,0,0,0,21,62
2023-01-05,Hell's Kitchen,1,Thursday,0,Morning,4,0,35,0,9,0,0,0,23,71
2023-01-05,Lower Manhattan,1,Thursday,0,Afternoon,10,0,55,0,5,0,0,0,49,119
2023-01-05,Lower Manhattan,1,Thursday,0,Evening,0,0,11,0,1,0,0,0,6,18
2023-01-05,Lower Manhattan,1,Thursday,0,Morning,16,0,54,0,8,0,0,0,43,121
2023-01-06,Astoria,1,Friday,0,Afternoon,17,0,49,0,15,0,0,0,42,123
2023-01-06,Astoria,1,Friday,0,Evening,9,0,34,0,6,0,0,0,33,82
2023-01-06,Astoria,1,Friday,0,Morning,3,0,10,0,0,0,0,0,6,19
2023-01-06,Hell's Kitchen,1,Friday,0,Afternoon,14,0,66,0,9,0,0,0,31,120
2023-01-06,Hell's Kitchen,1,Friday,0,Evening,3,0,28,0,3,0,0,0,18,52
2023-01-06,Hell's Kitchen,1,Friday,0,Morning,8,0,42,0,2,0,0,0,32,84
2023-01-06,Lower Manhattan,1,Friday,0,Afternoon,9,0,52,0,18,0,0,0,33,112
2023-01-06,Lower Manhattan,1,Friday,0,Evening,2,0,18,0,2,0,0,0,8,30
2023-01-06,Lower Manhattan,1,Friday,0,Morning,13,0,51,0,10,0,0,0,40,114
2023-01-07,Astoria,1,Saturday,1,Afternoon,10,0,36,0,14,0,0,0,35,95
2023-01-07,Astoria,1,Saturday,1,Evening,5,0,21,0,4,0,0,0,32,62
2023-01-07,Astoria,1,Saturday,1,Morning,12,0,46,0,10,0,0,0,32,100
2023-01-07,Hell's Kitchen,1,Saturday,1,Afternoon,2,0,21,0,2,0,0,1,16,42
2023-01-07,Hell's Kitchen,1,Saturday,1,Evening,6,0,31,0,8,1,0,0,22,68
2023-01-07,Hell's Kitchen,1,Saturday,1,Morning,22,0,97,3,18,17,1,0,55,213
2023-01-07,Lower Manhattan,1,Saturday,1,Afternoon,2,0,4,0,2,0,0,0,8,16
2023-01-07,Lower Manhattan,1,Saturday,1,Morning,21,0,81,9,4,21,1,1,65,203
2023-01-08,Astoria,1,Sunday,1,Afternoon,18,0,26,0,12,0,1,0,33,90
2023-01-08,Astoria,1,Sunday,1,Evening,12,1,20,2,8,0,2,0,13,58
2023-01-08,Astoria,1,Sunday,1,Morning,12,0,31,1,5,0,2,0,28,79
2023-01-08,Hell's Kitchen,1,Sunday,1,Afternoon,4,0,26,0,2,6,0,1,19,58
2023-01-08,Hell's Kitchen,1,Sunday,1,Evening,0,0,12,1,2,3,1,0,16,35
2023-01-08,Hell's Kitchen,1,Sunday,1,Morning,24,0,84,1,14,11,2,1,47,184
